Date,Category,Sales Revenue,Cost of Goods Sold (COGS),Quantity Sold,Profit,Market Share,Consumer Preference Index,Growth Rate (%),Marketing Spend,Customer Satisfaction,Competitor,Competitor Sales Revenue,Competitor Market Share,Location,Age Group,Seasonality,Sales Channel,Discount/Promotion,Return Rate (%)
2019-08-12,Home Goods,859827.76,396176.55,835,463651.21,19.96,80,7.36,31466.9,4.5,Competitor B,586304.92,28.76,Africa,51-65,Seasonal,Online,No,8.32
2017-05-09,Electronics,288677.67,122067.2,900,166610.47,32.12,75,14.57,43749.41,4.2,Competitor A,571682.27,27.66,Europe,65+,Seasonal,Both,Yes,8.96
2022-06-14,Electronics,220300.16,118282.0,3788,102018.16,15.43,66,13.83,76313.81,4.5,Competitor A,774330.78,13.22,Europe,36-50,Year-Round,In-Store,No,4.55
2017-02-04,Clothing,555889.94,301948.21,2530,253941.73,36.09,91,19.85,66994.59,4.5,Competitor A,596156.31,7.89,Asia,26-35,Seasonal,Online,No,4.05
2017-01-20,Electronics,746241.23,360765.1,3412,385476.13,21.39,66,5.59,77999.81,3.7,Competitor B,608067.76,5.42,Africa,36-50,Seasonal,In-Store,No,3.98
2019-02-06,Sports & Outdoors,366788.52,170411.98,4565,196376.54,24.61,77,13.32,68079.31,4.4,Competitor C,641701.88,6.58,Asia,51-65,Seasonal,Online,Yes,7.59
2022-06-19,Beauty,149904.73,60839.6,4698,89065.13,32.67,75,8.61,72913.32,4.4,Competitor B,792146.83,16.54,Europe,26-35,Year-Round,Online,No,9.9
2022-12-12,Beauty,117184.62,51244.45,992,65940.17,43.37,64,19.87,25502.31,3.8,Competitor B,685202.24,27.62,Europe,51-65,Year-Round,Online,Yes,8.93
2019-02-15,Clothing,366847.86,154655.93,2718,212191.93,49.99,94,12.17,90926.47,3.8,Competitor C,708387.12,25.11,South America,65+,Seasonal,Online,No,4.3
2017-05-25,Beauty,249812.03,102069.12,2837,147742.91,45.81,93,10.28,60689.17,3.6,Competitor B,749252.11,13.2,North America,18-25,Seasonal,Online,Yes,1.95
2018-01-03,Beauty,401101.32,207423.2,4630,193678.12,34.81,61,9.55,57229.35,4.1,Competitor B,642271.8,5.1,Africa,18-25,Year-Round,In-Store,No,9.11
2019-04-17,Clothing,985692.36,548250.48,4494,437441.88,15.37,88,10.97,68018.28,4.0,Competitor B,739559.86,23.82,Europe,36-50,Seasonal,Online,Yes,3.87
2022-01-02,Sports & Outdoors,233951.67,105548.36,1862,128403.31,14.8,77,8.1,67753.18,3.8,Competitor B,714326.33,10.3,Africa,18-25,Seasonal,Both,No,4.31
2020-11-21,Clothing,140503.47,76295.39,2456,64208.08,49.11,72,14.82,88261.23,4.5,Competitor B,697255.93,19.17,Europe,26-35,Year-Round,Both,No,8.63
2024-02-22,Electronics,603198.34,349774.68,4573,253423.66,37.13,70,15.85,63344.52,3.6,Competitor C,772859.87,17.81,North America,51-65,Year-Round,Online,Yes,9.49
2021-03-10,Electronics,429326.38,176148.58,4782,253177.8,37.61,74,11.04,90741.71,3.6,Competitor B,718382.22,23.29,Europe,18-25,Year-Round,Online,Yes,5.16
